,SMILES,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
QM9[67509],C[C@]12[C@H]3N[C@H]3[C@H]1N2C=O,5.2798,73.82,-0.2305,0.0309,0.2614,1008.3326,0.134871,-417.927046,-417.919185,-417.918241,-417.959154,30.387
QM9[108872],CCC1=C[C@@H](O)CCC1,1.9575,88.79,-0.2327,0.0181,0.2508,1477.7566,0.206613,-388.317515,-388.307953,-388.307009,-388.351988,36.567
QM9[60194],C#C[C@@H]1CN1C[C@@H](C)O,1.7782,82.7,-0.2277,0.0345,0.2622,1483.6619,0.16791,-403.079304,-403.069239,-403.068294,-403.114534,37.3
QM9[49022],O=C[C@]12CO[C@H]1[C@H]1N[C@H]12,1.115,68.75,-0.2427,-0.0371,0.2056,969.9114,0.124251,-437.80444,-437.797236,-437.796292,-437.836208,27.782
QM9[32264],COc1nccnc1O,0.4965,72.96,-0.2233,-0.0311,0.1923,1095.1801,0.114176,-454.00044,-453.992783,-453.991839,-454.03274,28.465
QM9[123635],c1n[nH]c2c1C[C@H]1N[C@@H]21,3.5188,74.32,-0.2209,0.0204,0.2413,982.7377,0.129493,-396.919708,-396.913409,-396.912465,-396.950245,25.755
QM9[34924],N#C[C@H]1[C@H]2O[C@H]2[C@H]2CN12,4.7027,67.73,-0.2522,0.0179,0.2701,928.2492,0.114168,-416.766402,-416.759599,-416.758654,-416.797719,26.485
QM9[107808],CC[C@]12C=C[C@@H]3[C@H](C1)N32,1.5404,82.15,-0.2114,0.006,0.2174,1066.2873,0.17221,-365.979394,-365.971708,-365.970764,-366.011322,31.112
QM9[42372],N#CCC(=O)C[C@H]1CN1,6.0532,73.86,-0.2674,-0.0425,0.2248,1512.4141,0.134903,-418.003162,-417.993946,-417.993001,-418.03868,32.155
QM9[6595],C#C[C@]12C[C@](O)(C1)C2,1.2893,72.77,-0.2504,0.0456,0.2961,960.2791,0.129656,-346.523813,-346.51649,-346.515545,-346.554874,29.145
QM9[59396],CC(C)[C@H]1O[C@]1(C)C#N,4.372,80.71,-0.2909,0.0079,0.2988,1397.8539,0.167867,-403.155412,-403.145114,-403.14417,-403.190732,37.1
QM9[18964],CO[C@@H]1[C@@H]2[C@H]3CN2[C@H]31,1.4047,69.02,-0.2334,0.0713,0.3047,934.7266,0.14243,-363.743162,-363.736274,-363.73533,-363.774422,26.104
QM9[128822],COCC1=NOC([NH])O1,2.4487,65.06,-0.2584,-0.0239,0.2345,1270.4906,0.111509,-491.052698,-491.044308,-491.043364,-491.087077,29.227
QM9[45963],[NH][C]1OCC(=O)[C@H]2O[C@@H]12,0.4695,64.43,-0.2677,-0.058,0.2097,990.9641,0.101352,-473.821335,-473.81409,-473.813145,-473.853474,26.914
QM9[129221],[NH]C1=C[CH]C([NH])=N[N]N1,2.1148,80.89,-0.2536,-0.0813,0.1723,1100.2345,0.102979,-429.000213,-428.992758,-428.991814,-429.034404,27.458
QM9[17767],N#CC[C@@H]1[C@@H]2C[C@H]1O2,3.7212,65.26,-0.2543,0.0294,0.2837,1002.0066,0.119333,-362.599431,-362.592603,-362.591659,-362.631146,25.485
QM9[13910],C[C@@H]1[C@H](C(N)=O)[C@@H]1O,4.5513,65.78,-0.2336,0.0152,0.2488,928.9719,0.141508,-401.025329,-401.016714,-401.015769,-401.058286,31.642
QM9[876],Nc1cnc(N)o1,2.9043,52.81,-0.2014,0.0306,0.232,687.7705,0.092201,-356.724041,-356.71771,-356.716766,-356.753876,23.545
QM9[79878],C[C@H]1[C@H]2[C@H]3CC[C@H]3[C@@]12O,1.224,81.92,-0.2267,0.0774,0.3041,1077.1102,0.182635,-387.025372,-387.016869,-387.015925,-387.057904,33.929
QM9[66046],C#C[C@]1(O)CC[C@H]1C#N,3.6261,75.78,-0.2773,0.0038,0.2811,1121.0464,0.122528,-400.715289,-400.706425,-400.705481,-400.748818,33.012
QM9[93444],C[C@H]1COC(=O)CC1=O,3.7188,68.9,-0.2605,-0.0369,0.2237,1171.2611,0.135418,-459.028447,-459.020072,-459.019127,-459.061956,30.896
QM9[62854],C[C@@]1(O)[C@H]2CC(=O)[C@@H]1O2,2.8642,67.88,-0.2323,-0.0221,0.2102,986.2575,0.134593,-458.947477,-458.939523,-458.938579,-458.979494,31.293
QM9[79612],C[C@H]1[C@@H]2C(=O)[C@@H]3C[C@@H]3N12,2.5897,76.34,-0.2397,-0.029,0.2107,1090.0306,0.14814,-401.928318,-401.920629,-401.919685,-401.960321,30.224
QM9[66844],O[C@@]12[C@@H]3[C@H]4CN3[C@@H]1[C@]42O,1.1725,67.23,-0.2107,0.0634,0.2741,896.6169,0.124331,-437.76791,-437.7609,-437.759955,-437.798807,28.733
QM9[57667],C#CCC(C)(C)O[CH][NH],3.7554,83.2,-0.2567,0.0258,0.2824,1359.1816,0.166653,-403.11852,-403.10787,-403.106926,-403.154278,38.701
QM9[15905],CC[C@H]1[C@@H](C)C[C@H]1O,1.4598,78.2,-0.2525,0.0722,0.3247,1108.5526,0.199555,-350.200614,-350.191296,-350.190352,-350.234075,35.086
QM9[14442],C[C@@]12O[C@H]3CO[C@@H]1[C@H]32,2.0244,63.65,-0.2134,0.0808,0.2941,763.505,0.131061,-383.695467,-383.689075,-383.688131,-383.725636,25.412
QM9[86129],C[C@@H]1N[C@H](C)C(=O)C1=O,4.4923,73.24,-0.2317,-0.0913,0.1404,1197.6147,0.146032,-439.115524,-439.106365,-439.105421,-439.149568,33.408
QM9[78415],[NH][C]1O[C@@H]2[C@H]1[C@@H]1[C@@H](O)[C@H]21,2.9432,69.02,-0.2554,0.0204,0.2757,1038.1448,0.124636,-437.825128,-437.817912,-437.816968,-437.856683,28.668
QM9[49820],O=CN1CC(=O)C(=O)C1,2.3813,64.26,-0.2574,-0.1147,0.1427,1208.267,0.099622,-473.868377,-473.86018,-473.859235,-473.902971,28.341
QM9[121108],CCC[C@H]1CC[C@@H](C)C1,0.1564,96.75,-0.2924,0.0814,0.3738,1954.7755,0.253012,-353.590441,-353.579875,-353.578931,-353.626551,39.595
QM9[95572],O=C1CC=CCC[C@@H]1O,2.9802,76.74,-0.2448,-0.0269,0.218,1143.6335,0.160247,-423.056422,-423.048128,-423.047184,-423.089342,32.09
QM9[99030],CNC(=O)OC(C)(C)C,2.2336,80.62,-0.2465,0.0668,0.3133,1481.3343,0.190827,-441.54622,-441.534912,-441.533968,-441.582868,40.357
QM9[65780],C[C@@]1(OC=O)CCCO1,4.4008,71.9,-0.2622,0.0124,0.2746,1210.8119,0.15846,-460.207047,-460.198086,-460.197142,-460.241271,32.79
QM9[53810],CC(=O)C(=O)N1CCC1,2.0474,75.49,-0.2319,-0.056,0.1759,1302.9878,0.146232,-439.118588,-439.109114,-439.10817,-439.154067,32.703
QM9[36520],C#CC[C@H]1CCOCO1,1.8414,77.37,-0.2586,0.0525,0.3112,1379.4331,0.159387,-422.995777,-422.987223,-422.986279,-423.029267,32.498
QM9[10452],N#CCC1(C=O)CC1,4.0655,65.83,-0.2668,-0.0407,0.2262,985.5978,0.117538,-362.676483,-362.668426,-362.667482,-362.709606,28.387
QM9[95971],CC(=O)[C@H]1CCC[C@H]1O,3.281,78.09,-0.2484,-0.0207,0.2278,1213.1983,0.182818,-424.264896,-424.255652,-424.254708,-424.299693,34.574
QM9[85730],C#C[C@@H]1O[C@H](C)[C@@H]1C=O,1.722,74.09,-0.2532,-0.0337,0.2195,1131.6711,0.132525,-421.777247,-421.767974,-421.767029,-421.81228,33.114
QM9[81740],C#C[C@@]12O[C@@H]1[C@H](O)[C@@H]2C,1.6409,75.64,-0.2492,0.0127,0.2619,1138.7749,0.13346,-421.753118,-421.74436,-421.743415,-421.786299,33.282
QM9[116054],CCC1OCC=CCO1,1.857,81.24,-0.2459,0.0175,0.2634,1315.5417,0.182479,-424.228237,-424.21917,-424.218226,-424.262327,33.873
QM9[91981],C[C@H]1O[C@H]2C[C@H]2[C@H]1C#N,3.0635,74.54,-0.2488,0.0309,0.2797,1053.9783,0.148287,-401.951409,-401.943248,-401.942304,-401.984442,31.01
QM9[12048],N#C[C@]1(O)C[C@H]2O[C@H]21,2.2029,57.9,-0.2778,0.0001,0.2779,808.4068,0.094226,-398.556971,-398.549907,-398.548962,-398.58814,26.182
QM9[13511],CC(=O)[C@@H]1CC[C@@H]1C,2.5998,75.04,-0.2379,-0.0108,0.2271,1020.2333,0.175666,-349.022477,-349.013485,-349.012541,-349.056533,32.566
QM9[12580],CC1=C([NH])OC[C]1N,4.7764,72.02,-0.2079,0.0026,0.2105,928.3518,0.131364,-379.958511,-379.950534,-379.949589,-379.990802,29.424
QM9[76819],O[C@@H]1[C@H](O)[C@@H]2N3CC12C3,1.472,72.93,-0.2071,0.0337,0.2408,999.9588,0.147724,-438.914516,-438.906775,-438.905831,-438.946311,31.042
QM9[71499],C[C@@]12C[C@H]3[C@@H]1CC(=O)[C@H]32,3.1437,79.8,-0.2309,-0.0092,0.2216,1013.375,0.160296,-385.88431,-385.876895,-385.875951,-385.915921,30.019
QM9[5531],CCc1ocnc1O,0.505,63.85,-0.211,0.0054,0.2163,949.8829,0.119366,-399.839536,-399.831933,-399.830989,-399.871935,27.43
QM9[60327],CC(C)CNC(=N)C=O,3.5514,82.84,-0.234,-0.0678,0.1662,1706.784,0.180359,-420.428193,-420.417408,-420.416464,-420.464914,38.165
QM9[132413],O=Cc1cc(F)ncn1,2.4144,64.55,-0.2748,-0.099,0.1757,1154.4197,0.077923,-476.829696,-476.822793,-476.821849,-476.861665,24.766
QM9[94907],C[C@H]1CC[C@@H]2[C@H]1[C@@H]2C#N,4.1713,82.11,-0.2798,0.0311,0.3109,1072.4268,0.173122,-366.03949,-366.031231,-366.030287,-366.072137,32.107
QM9[4600],CC1=CN=C([NH])OC1,4.6597,69.35,-0.2278,-0.066,0.1618,924.2162,0.108256,-378.751594,-378.744591,-378.743646,-378.783217,25.562
QM9[85065],C[C@H]1OC(=O)[C@@H](O)[C@H]1C,3.2334,70.95,-0.2588,0.0022,0.2611,1102.3652,0.158966,-460.213714,-460.204718,-460.203774,-460.247092,33.859
QM9[4733],N#Cc1nc(N)co1,5.5698,62.84,-0.2308,-0.06,0.1709,934.526,0.073831,-393.615452,-393.608849,-393.607905,-393.646206,24.063
QM9[19762],C1=C[C@H]2[C@H]3C[C@@H]1O[C@@H]23,1.3462,66.9,-0.2248,0.0152,0.24,663.2166,0.134368,-346.605677,-346.600396,-346.599452,-346.634588,23.065
QM9[60593],O[C@H](C1CCC1)C1CC1,1.5078,86.03,-0.2576,0.0724,0.33,1482.2027,0.205794,-388.264198,-388.254579,-388.253635,-388.2992,36.151
QM9[117783],CCO[C@](C)(C#N)CC,3.2346,83.16,-0.2765,0.0254,0.3019,1373.0938,0.190858,-404.369211,-404.358045,-404.357101,-404.405552,39.789
QM9[90119],C[C@H]1C[C@@]23CC[C@@H](O2)[C@@H]13,1.6073,82.07,-0.2388,0.083,0.3218,1049.5539,0.184322,-387.042738,-387.03526,-387.034316,-387.074106,31.179
QM9[64716],C[C@@]1(CC#N)O[C@H]2C[C@H]21,5.2192,75.64,-0.2518,0.0297,0.2814,1182.4453,0.146405,-401.925162,-401.916655,-401.915711,-401.958318,32.264
QM9[91183],C[C@H]1O[C@H]2C=CC[C@]21C,1.8387,82.11,-0.2368,0.0131,0.2499,1046.0937,0.182826,-387.095165,-387.08675,-387.085805,-387.127722,33.326
QM9[40909],C1OC[C@@H]2[C@H]1C21COC1,2.4393,74.71,-0.2418,0.0733,0.3151,1085.702,0.161019,-422.987157,-422.979635,-422.978691,-423.019389,28.958
QM9[31732],CNc1coc(CO)c1,2.4341,76.82,-0.1897,0.0236,0.2132,1518.8261,0.147659,-439.094676,-439.085494,-439.08455,-439.129133,33.361
QM9[52613],CC#CC(C)(C)C1CC1,0.2251,94.66,-0.2385,0.0667,0.3052,1546.4734,0.202893,-351.125127,-351.114013,-351.113069,-351.162812,40.181
QM9[97700],C#C[C@]1(C#CCO)CN1,0.9205,82.5,-0.2426,0.0052,0.2478,1633.7703,0.121735,-400.640074,-400.63036,-400.629416,-400.676179,34.384
QM9[109404],C[C@]12N[C@H]1C(=O)[C@H]2CO,4.6853,72.65,-0.2397,-0.0277,0.212,1170.0675,0.146491,-439.05219,-439.043285,-439.04234,-439.085847,33.093
QM9[108074],OC[C@@]12C[C@H]3C[C@]1(O)[C@H]32,3.0824,74.75,-0.2362,0.0643,0.3005,1048.8362,0.159493,-422.965909,-422.957772,-422.956828,-422.998424,32.322
QM9[61790],N#C[C@H](O)[C@@H](O)CC=O,3.4548,66.68,-0.26,-0.031,0.2289,1468.857,0.120876,-475.028232,-475.01828,-475.017336,-475.064014,34.204
QM9[108606],CCC1=C(C)C(=O)NC1,4.1965,83.62,-0.2364,-0.0132,0.2232,1326.954,0.170343,-403.21845,-403.208436,-403.207492,-403.255141,35.153
QM9[70302],O[C@]12C[C@H]1CC1(CC1)C2,1.1885,81.73,-0.2495,0.0836,0.3331,1156.8372,0.183394,-387.07664,-387.068513,-387.067569,-387.108734,33.489
QM9[2339],CCO[C@H]1C[C@H]1C,0.9115,68.75,-0.24,0.093,0.3331,1007.1546,0.170037,-310.902708,-310.894273,-310.893329,-310.935642,30.171
QM9[94375],C[C@H]1OC[C@@]12C[C@H]1O[C@H]12,1.9431,74.31,-0.2454,0.0764,0.3218,1088.3033,0.158362,-422.964861,-422.956704,-422.95576,-422.998028,31.084
QM9[49288],O=CC1=CNC[C@H]2N[C@@H]12,5.7271,80.26,-0.205,-0.0197,0.1853,1136.0068,0.138703,-418.011219,-418.003515,-418.002571,-418.043565,29.326
QM9[32131],COc1cccc(C)c1,0.9075,88.05,-0.2122,0.0083,0.2205,1359.7534,0.160002,-385.958648,-385.949912,-385.948968,-385.992743,32.464
QM9[128290],CNc1cc(O)n(C)n1,2.2117,77.42,-0.1818,0.0525,0.2343,1346.7874,0.147746,-435.279405,-435.269677,-435.268733,-435.314814,34.189
QM9[60859],C[C@@H](C=O)C1(O)COC1,2.7884,71.25,-0.247,-0.0274,0.2196,1165.293,0.156035,-460.145004,-460.135269,-460.134325,-460.179972,34.897
QM9[8723],O=CC(=O)C(=O)C=O,0.0025,49.13,-0.2554,-0.1571,0.0983,1045.9311,0.05574,-454.41244,-454.404209,-454.403265,-454.447919,25.564
QM9[25481],N=CNc1cnccn1,1.1575,83.32,-0.2283,-0.0519,0.1764,1310.2699,0.116017,-413.045102,-413.037709,-413.036765,-413.077452,27.331
QM9[111532],OC[C@H]1[C@H]2C[C@]3(CN3)[C@@H]12,3.4682,78.66,-0.2407,0.0675,0.3082,1082.9635,0.172646,-403.082207,-403.074276,-403.073332,-403.114365,31.925
